v8-version,4,6,85,31,0
code-creation,Stub,2,0x1a5fe6c0e900,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c0eae0,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,11,0x1a5fe6c0ecc0,284,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c0ede0,244,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c0eee0,244,"An IC handler from the snapshot"
code-creation,Stub,12,0x1a5fe6c0efe0,195,"CompareICStub"
code-creation,Stub,11,0x1a5fe6c0f0c0,438,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c0f280,256,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c0f380,1805,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c0faa0,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c0fd00,1608,"FastCloneShallowArrayStub"
code-creation,Stub,2,0x1a5fe6c10360,466,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c10540,2700,"RecordWriteStub"
code-creation,Handler,3,0x1a5fe6c10fe0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c11060,292,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c111a0,220,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c11280,538,"ArgumentsAccessStub"
code-creation,Stub,11,0x1a5fe6c114a0,232,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c115a0,212,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c11680,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c11700,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c117e0,344,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c11940,332,"StoreFastElementStub"
code-creation,Stub,2,0x1a5fe6c11aa0,188,"DoubleToIStub"
code-creation,Stub,2,0x1a5fe6c11b60,353,"ArgumentsAccessStub"
code-creation,Stub,11,0x1a5fe6c11ce0,232,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c11de0,113,"A call IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c11e60,486,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c12060,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c120e0,533,"A call IC from the snapshot"
code-creation,Handler,3,0x1a5fe6c12300,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c12380,434,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c12540,332,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c126a0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c12720,462,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c12900,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x1a5fe6c12b60,256,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c12c60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c12d80,510,"CreateAllocationSiteStub"
code-creation,Stub,2,0x1a5fe6c12f80,2723,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c13a40,2680,"RecordWriteStub"
code-creation,Stub,11,0x1a5fe6c144c0,458,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c146a0,152,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c14740,212,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c14820,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0x1a5fe6c148a0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c14920,634,"A call IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c14ba0,458,"ToObjectStub"
code-creation,Handler,3,0x1a5fe6c14d80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c14ea0,462,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c15080,220,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c15160,372,"JSEntryStub"
code-creation,Stub,11,0x1a5fe6c152e0,458,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c154c0,292,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c15600,434,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c157c0,958,"StoreFastElementStub"
code-creation,Stub,2,0x1a5fe6c15b80,234,"CallFunctionStub"
code-creation,Handler,3,0x1a5fe6c15c80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c15d00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c15d80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c15e00,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c15ee0,152,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c15f80,634,"A call IC from the snapshot"
code-creation,Handler,3,0x1a5fe6c16200,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c162e0,220,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c163c0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c16440,527,"A call IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c16660,256,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c16760,1786,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c16e60,1222,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c17340,160,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c173e0,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0x1a5fe6c17620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c176a0,458,"BinaryOpICStub"
code-creation,Stub,12,0x1a5fe6c17880,173,"CompareICStub"
code-creation,CallIC,8,0x1a5fe6c17940,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c179c0,533,"A call IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c17be0,524,"CallConstructStub"
code-creation,Handler,3,0x1a5fe6c17e00,220,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c17ee0,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c18140,1077,"StringAddStub"
code-creation,Stub,11,0x1a5fe6c18580,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,2,0x1a5fe6c18600,1177,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,2,0x1a5fe6c18aa0,507,"NumberToStringStub"
code-creation,Stub,2,0x1a5fe6c18ca0,182,"DoubleToIStub"
code-creation,Stub,2,0x1a5fe6c18d60,382,"FastNewContextStub"
code-creation,Stub,11,0x1a5fe6c18ee0,152,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c18f80,112,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c19000,972,"NameDictionaryLookupStub"
code-creation,Stub,11,0x1a5fe6c193e0,438,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c195a0,344,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c19700,438,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c198c0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c19940,606,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x1a5fe6c19ba0,458,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c19d80,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x1a5fe6c19e00,634,"A call IC from the snapshot"
code-creation,Handler,3,0x1a5fe6c1a080,120,"An IC handler from the snapshot"
code-creation,Stub,12,0x1a5fe6c1a100,173,"CompareICStub"
code-creation,Handler,3,0x1a5fe6c1a1c0,614,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c1a440,494,"FastNewContextStub"
code-creation,Stub,11,0x1a5fe6c1a640,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1a720,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1a800,332,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c1a960,1394,"FastNewContextStub"
code-creation,Stub,2,0x1a5fe6c1aee0,422,"FastNewContextStub"
code-creation,Stub,12,0x1a5fe6c1b0a0,173,"CompareICStub"
code-creation,CallIC,8,0x1a5fe6c1b160,113,"A call IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c1b1e0,364,"BinaryOpICStub"
code-creation,LoadIC,6,0x1a5fe6c1b360,514,"A load IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c1b580,336,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c1b6e0,212,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1b7c0,156,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1b860,116,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c1b8e0,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1b9c0,256,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1bac0,458,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1bca0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1bd20,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c1be40,360,"StoreFastElementStub"
code-creation,Handler,3,0x1a5fe6c1bfc0,336,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c1c120,152,"BinaryOpICStub"
code-creation,Stub,14,0x1a5fe6c1c1c0,151,"ToBooleanStub"
code-creation,KeyedLoadIC,7,0x1a5fe6c1c260,381,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,7,0x1a5fe6c1c3e0,1058,"A keyed load IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c1c820,968,"NameDictionaryLookupStub"
code-creation,Stub,2,0x1a5fe6c1cc00,958,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c1cfc0,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1d0a0,458,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1d280,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c1d3a0,478,"FastNewContextStub"
code-creation,Stub,12,0x1a5fe6c1d580,173,"CompareICStub"
code-creation,Stub,11,0x1a5fe6c1d640,458,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1d820,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1d8a0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1d9c0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1da40,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c1dac0,434,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1dc80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1dd00,120,"An IC handler from the snapshot"
code-creation,CallIC,8,0x1a5fe6c1dd80,533,"A call IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c1dfa0,332,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c1e100,1804,"RecordWriteStub"
code-creation,Stub,12,0x1a5fe6c1e820,677,"CompareICStub"
code-creation,Handler,3,0x1a5fe6c1eae0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c1ec00,220,"An IC handler from the snapshot"
code-creation,LoadIC,6,0x1a5fe6c1ece0,514,"A load IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c1ef00,458,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1f0e0,152,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c1f180,134,"An IC handler from the snapshot"
code-creation,Builtin,4,0x1a5fe6c1f220,122,"LoadIC_Miss"
code-creation,Handler,3,0x1a5fe6c1f2a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c1f320,1344,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,11,0x1a5fe6c1f860,152,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c1f900,438,"BinaryOpICStub"
code-creation,Stub,13,0x1a5fe6c1fac0,151,"CompareNilICStub"
code-creation,Stub,12,0x1a5fe6c1fb60,173,"CompareICStub"
code-creation,Stub,2,0x1a5fe6c1fc20,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1a5fe6c1fca0,199,"CallConstructStub"
code-creation,Stub,11,0x1a5fe6c1fd80,332,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c1fee0,562,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c20120,244,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c20220,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c20480,2674,"RecordWriteStub"
code-creation,Stub,11,0x1a5fe6c20f00,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c20fe0,212,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c210c0,574,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x1a5fe6c21300,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c21380,502,"ArrayNArgumentsConstructorStub"
code-creation,Stub,12,0x1a5fe6c21580,187,"CompareICStub"
code-creation,Stub,11,0x1a5fe6c21640,220,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c21720,450,"FastNewContextStub"
code-creation,Stub,2,0x1a5fe6c21900,814,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c21c40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c21d20,212,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c21e00,113,"A call IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c21e80,534,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x1a5fe6c220a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c22120,566,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x1a5fe6c22360,654,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c22600,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1a5fe6c22680,410,"FastNewContextStub"
code-creation,Stub,14,0x1a5fe6c22820,228,"ToBooleanStub"
code-creation,Stub,11,0x1a5fe6c22920,232,"BinaryOpICStub"
code-creation,CallIC,8,0x1a5fe6c22a20,634,"A call IC from the snapshot"
code-creation,Stub,11,0x1a5fe6c22ca0,292,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c22de0,958,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c231a0,462,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c23380,458,"BinaryOpICStub"
code-creation,Stub,12,0x1a5fe6c23560,222,"CompareICStub"
code-creation,Stub,2,0x1a5fe6c23640,662,"FastNewContextStub"
code-creation,Stub,2,0x1a5fe6c238e0,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x1a5fe6c23ae0,458,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c23cc0,360,"StoreFastElementStub"
code-creation,Stub,2,0x1a5fe6c23e40,1834,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c24580,360,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c24700,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c247e0,248,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c248e0,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0x1a5fe6c24960,113,"A call IC from the snapshot"
code-creation,Handler,3,0x1a5fe6c249e0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c24a60,608,"MathPowStub"
code-creation,Stub,2,0x1a5fe6c24cc0,1822,"RecordWriteStub"
code-creation,Stub,11,0x1a5fe6c253e0,220,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c254c0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c25540,272,"An IC handler from the snapshot"
code-creation,CallIC,8,0x1a5fe6c25660,113,"A call IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c256e0,385,"CallApiGetterStub"
code-creation,Stub,11,0x1a5fe6c25880,486,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c25a80,366,"FastNewContextStub"
code-creation,Stub,2,0x1a5fe6c25c00,188,"DoubleToIStub"
code-creation,Handler,3,0x1a5fe6c25cc0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c25d40,292,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c25e80,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0x1a5fe6c26260,1154,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c26700,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c26780,232,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c26880,232,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c26980,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x1a5fe6c26b80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c26c00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x1a5fe6c26c80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c26da0,152,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c26e40,272,"An IC handler from the snapshot"
code-creation,Stub,12,0x1a5fe6c26f60,195,"CompareICStub"
code-creation,Stub,2,0x1a5fe6c27040,766,"FastNewClosureStub"
code-creation,Stub,2,0x1a5fe6c27340,2710,"RecordWriteStub"
code-creation,Stub,2,0x1a5fe6c27de0,918,"FastNewContextStub"
code-creation,Stub,11,0x1a5fe6c28180,152,"BinaryOpICStub"
code-creation,Stub,12,0x1a5fe6c28220,628,"CompareICStub"
code-creation,Stub,11,0x1a5fe6c284a0,284,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c285c0,184,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c28680,284,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c287a0,458,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c28980,199,"CallConstructStub"
code-creation,Stub,2,0x1a5fe6c28a60,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0x1a5fe6c28ca0,244,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c28da0,974,"StoreFastElementStub"
code-creation,Stub,11,0x1a5fe6c29180,332,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c292e0,206,"InternalArrayConstructorStub"
code-creation,Stub,2,0x1a5fe6c293c0,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,11,0x1a5fe6c29580,152,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c29620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c296a0,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c29780,486,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c29980,203,"ToNumberStub"
code-creation,Stub,11,0x1a5fe6c29a60,284,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c29b80,434,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c29d40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c29e20,284,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c29f40,566,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x1a5fe6c2a180,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,11,0x1a5fe6c2a200,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2a2e0,232,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2a3e0,1831,"RecordWriteStub"
code-creation,Handler,3,0x1a5fe6c2ab20,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c2ac00,212,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2ace0,746,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c2afe0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c2b060,248,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2b160,220,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2b240,372,"JSEntryStub"
code-creation,Stub,12,0x1a5fe6c2b3c0,222,"CompareICStub"
code-creation,Handler,3,0x1a5fe6c2b4a0,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c2b5c0,554,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x1a5fe6c2b800,434,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2b9c0,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2baa0,364,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2bc20,212,"BinaryOpICStub"
code-creation,Stub,11,0x1a5fe6c2bd00,220,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2bde0,1786,"RecordWriteStub"
code-creation,Handler,3,0x1a5fe6c2c4e0,160,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c2c580,434,"BinaryOpICStub"
code-creation,Stub,13,0x1a5fe6c2c740,200,"CompareNilICStub"
code-creation,Stub,11,0x1a5fe6c2c820,458,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2ca00,945,"SubStringStub"
code-creation,Stub,11,0x1a5fe6c2cdc0,232,"BinaryOpICStub"
code-creation,Handler,3,0x1a5fe6c2cec0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x1a5fe6c2cf40,232,"BinaryOpICStub"
code-creation,KeyedLoadIC,7,0x1a5fe6c2d040,393,"A keyed load IC from the snapshot"
code-creation,Stub,2,0x1a5fe6c2d1e0,796,"RecordWriteStub"
code-creation,Stub,11,0x1a5fe6c2d500,486,"BinaryOpICStub"
code-creation,Stub,2,0x1a5fe6c2d700,834,"FastNewContextStub"
code-creation,Handler,3,0x1a5fe6c2da60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x1a5fe6c2db80,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1a5fe6c2dde0,234,"CallFunctionStub"
